ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,CF_ID,Intro,AS_vig,AS,AS_T_1,AS_T_2,AS_T_3,AS_T_4,AA_vig,AA,AA_T_1,AA_T_2,AA_T_3,AA_T_4,FS_vig,FS,FS_T_1,FS_T_2,FS_T_3,FS_T_4,FA_vig,FA,FA_T_1,FA_T_2,FA_T_3,FA_T_4,CS_vig,CS,CS_T_1,CS_T_2,CS_T_3,CS_T_4,CA_vig,CA,CA_T_1,CA_T_2,CA_T_3,CA_T_4,Q6,S_char_1,S_char_2,S_char_3,Q67,S_attr,S_comp,S_trust,Q47,A_char_1,A_char_2,A_char_3,Q97,A_attr,A_comp,A_trust,Q61,interest,poltrust,year,sex,LocationLatitude,LocationLongitude,LocationAccuracy
R_9B0ynJlCX6rOl3T,Default Response Set,Anonymous,,,24.99.210.93,0,11/16/2015 21:29,11/16/2015 21:31,1,656459, AYZ85PU887QY1,1,1,9,26.181,26.181,27.042,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,11,9,,,,,,,,,,,,,1,1,1,24,2,33.897995,-84.5868988,-1
R_3Q5G5ljQHhxTcdn,Default Response Set,Anonymous,,,50.4.106.43,0,11/16/2015 21:30,11/16/2015 21:31,1,623014, A2CSV75E3JT58Y,1,,,,,,,1,8,13.189,13.189,13.975,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,8,9,1,9,4,32,1,42.59829712,-83.17849731,-1
R_54pbtbACjL8oKxf,Default Response Set,Anonymous,,,162.254.170.65,0,11/16/2015 21:30,11/16/2015 21:31,1,984423,A1QG4N21BF61PC,1,,,,,,,,,,,,,,,,,,,,,,,,,1,9,41.981,54.902,60.311,4,,,,,,,,,,,,,,,,,,,,,,,1,10,6,13,2,41.8500061,-87.65000153,-1
R_5hcBoL8QujMpk7b,Default Response Set,Anonymous,,,173.217.133.158,0,11/16/2015 21:31,11/16/2015 21:31,1,533944,A2CEUCPDECS6U3,1,1,11,7.896,7.896,9.31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,11,11,,,,,,,,,,,,,1,3,3,11,1,31.28840637,-92.38800049,-1
R_7ZNUUbaIujmidKt,Default Response Set,Anonymous,,,24.127.148.55,0,11/16/2015 21:31,11/16/2015 21:32,1,404957,AR5OPTTGMTI9S,1,,,,,,,,,,,,,,,,,,,,,,,,,1,9,14.877,14.877,16.719,1,,,,,,,,,,,,,,,,,,,,,,,1,7,8,12,1,42.20300293,-83.31659698,-1
R_bjPZTt4UcwhZb0h,Default Response Set,Anonymous,,,134.228.197.27,0,11/16/2015 21:31,11/16/2015 21:32,1,219801,A138M4A1NILVRB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,21.805,21.805,23.266,1,,,,,1,4,6,6,1,5,6,5,,,,,1,3,6,18,2,41.70730591,-83.54299927,-1
R_6mK3ahgIQkNRhGd,Default Response Set,Anonymous,,,67.60.191.92,0,11/16/2015 21:31,11/16/2015 21:32,1,368354,A2WF8JGMNB4UEN,1,,,,,,,,,,,,,1,8,36.574,36.574,39.259,1,,,,,,,,,,,,,,,,,,,,,,,1,2,8,7,,,,,,,,,1,7,6,18,1,43.71350098,-116.1853027,-1
R_eIKL9JkRea5uWqh,Default Response Set,Anonymous,,,108.253.161.74,0,11/16/2015 21:32,11/16/2015 21:33,1,188527,A2ELLVV8X003ZD,1,,,,,,,,,,,,,,,,,,,1,9,34.545,34.545,35.802,1,,,,,,,,,,,,,,,,,,,,,1,1,6,6,,,,,1,4,6,23,2,28.99699402,-81.0562973,-1
R_djqdN8aOj5AYiQ5,Default Response Set,Anonymous,,,69.120.91.61,0,11/16/2015 21:30,11/16/2015 21:33,1,350404,A2LXNWLMNXCL75,1,,,,,,,,,,,,,1,6,141.834,141.834,142.832,1,,,,,,,,,,,,,,,,,,,1,6,9,6,,,,,,,,,,,,,1,8,1,17,1,40.68089294,-73.94629669,-1
R_8bTT9oqOHzjEnMp,Default Response Set,Anonymous,,,75.138.245.31,0,11/16/2015 21:32,11/16/2015 21:34,1,865879,A2KBZ75HMJ7KVX,1,1,4,57.141,57.141,61.833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,2,,,,,,,,,1,4,1,26,1,35.71740723,-86.89260101,-1
R_80yxzB1Ci93Gy6F,Default Response Set,Anonymous,,,69.63.229.201,0,11/16/2015 21:32,11/16/2015 21:34,1,288776,A3DMZISDAHNJIZ,1,,,,,,,1,7,37.816,43.561,46.94,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,5,1,9,3,46,2,42.772995,-84.37449646,-1
R_6o5sAcBFO2xrtFb,Default Response Set,Anonymous,,,50.141.101.40,0,11/16/2015 21:33,11/16/2015 21:34,1,912092,A2LO6IMD1O3136,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,18.705,18.705,19.489,1,1,6,8,6,,,,,,,,,1,6,8,6,1,2,2,18,1,45.52340698,-122.6762009,-1
R_cVhbwHOfbJNnmS1,Default Response Set,Anonymous,,,68.45.56.237,0,11/16/2015 21:34,11/16/2015 21:35,1,149109,A2UNSF09FWX9S8,1,,,,,,,,,,,,,,,,,,,,,,,,,1,3,32.461,32.461,33.585,1,,,,,,,,,,,,,,,,,,,,,,,1,9,9,38,1,39.07899475,-86.61750031,-1
R_b7XoJQNsDmClpWZ,Default Response Set,Anonymous,,,164.106.236.222,0,11/16/2015 21:34,11/16/2015 21:35,1,706688,AZV195E9JW7ZH,1,,,,,,,1,6,10.972,18.994,20.143,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,6,8,,,,,1,8,1,15,1,37.21409607,-80.0625,-1
R_ealaJdT7u3TDPrT,Default Response Set,Anonymous,,,73.11.49.163,0,11/16/2015 21:33,11/16/2015 21:35,1,606933,A1RDMDZMWJRU4F,1,1,8,29.598,29.598,32.006,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,9,8,,,,,,,,,,,,,1,4,2,11,1,45.40229797,-122.6147003,-1
R_9pnvQBYAE91qQTz,Default Response Set,Anonymous,,,24.225.119.55,0,11/16/2015 21:33,11/16/2015 21:35,1,272983,ALDQRWYZ8KQ9A,1,,,,,,,,,,,,,1,10,39.225,47.681,57.203,3,,,,,,,,,,,,,,,,,,,,,,,1,9,10,10,,,,,,,,,1,8,4,23,1,48.14639282,-96.17649841,-1
R_cXSpsKhPkfEkrXL,Default Response Set,Anonymous,,,72.185.23.235,0,11/16/2015 21:34,11/16/2015 21:36,1,690513,A1R0689JPSQ3OF,1,,,,,,,,,,,,,,,,,,,1,9,32.659,36.805,37.841,2,,,,,,,,,,,,,,,,,,,,,1,8,8,8,,,,,1,11,2,28,1,28.93449402,-82.47229767,-1
R_4Z9QUzXvNgA0Tzf,Default Response Set,Anonymous,,,73.162.228.46,0,11/16/2015 21:35,11/16/2015 21:36,1,735394,A3774HPOUKYTX7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,4.002,4.002,4.854,1,1,8,9,9,,,,,,,,,1,9,10,9,1,10,7,22,1,37.33479309,-121.7780991,-1
R_6t9QC5c20iYDKL3,Default Response Set,Anonymous,,,108.196.6.117,0,11/16/2015 21:36,11/16/2015 21:37,1,535044,A63759KWVJ94F  ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2.644,2.644,3.726,1,,,,,1,8,6,4,,,,,1,7,6,4,1,11,11,11,2,34.77709961,-92.37480164,-1
R_4NPgOKkHYIDE6l7,Default Response Set,Anonymous,,,24.107.114.166,0,11/16/2015 21:37,11/16/2015 21:38,1,596284,A3E3RCR51Z8EVP,1,,,,,,,,,,,,,,,,,,,,,,,,,1,7,11.966,11.966,12.812,1,,,,,,,,,,,,,,,,,,,,,,,1,3,5,19,2,38.56469727,-90.53569794,-1
R_cBGqZ67gZg8lQix,Default Response Set,Anonymous,,,69.133.117.63,0,11/16/2015 21:36,11/16/2015 21:38,1,191422,A3VE47MTT6L4CM,1,,,,,,,,,,,,,,,,,,,1,7,69.109,69.109,70.655,1,,,,,,,,,,,,,,,,,,,,,1,3,7,7,,,,,1,9,7,52,2,40.03579712,-84.17749786,-1
R_dbSBkXFicqEa0Hb,Default Response Set,Anonymous,,,76.177.192.54,0,11/16/2015 21:39,11/16/2015 21:39,1,988154,A2QH1BQA6GR48O,1,,,,,,,1,7,4.622,4.622,6.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,6,,,,,1,5,8,15,2,37.645401,-84.81710052,-1
R_ehw3BJIkKLjgviZ,Default Response Set,Anonymous,,,172.56.26.178,0,11/16/2015 21:38,11/16/2015 21:40,1,670507,A1VIOLLY8JO8XO,1,1,7,52.934,52.934,54.302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,6,,,,,,,,,1,8,6,41,2,26.12229919,-80.1434021,-1
R_8bHUoq34z5ZnqjH,Default Response Set,Anonymous,,,162.195.164.9,0,11/16/2015 21:39,11/16/2015 21:40,1,457501,A1GV0UZU0T2ORS,1,,,,,,,,,,,,,1,9,72.565,72.565,73.507,1,,,,,,,,,,,,,,,,,,,1,8,11,9,,,,,,,,,,,,,1,9,6,15,1,42.20610046,-83.62280273,-1
R_beYtxwkEG7RLYsR,Default Response Set,Anonymous,,,104.182.92.236,0,11/16/2015 21:39,11/16/2015 21:41,1,690264,A2N962G55T9MOB,1,,,,,,,,,,,,,1,6,31.309,31.925,33.175,2,,,,,,,,,,,,,,,,,,,,,,,1,1,6,5,,,,,,,,,1,4,1,20,2,33.10710144,-86.90319824,-1
R_9XM9f5bg3T0tWiF,Default Response Set,Anonymous,,,108.211.58.78,0,11/16/2015 21:39,11/16/2015 21:41,1,842579,A1XOH00G800DIH,1,,,,,,,1,8,3.3,53.708,57.759,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,8,6,1,10,6,7,1,35.33389282,-119.0225983,-1
R_6RmnWK1Q6CP7kyx,Default Response Set,Anonymous,,,68.32.63.147,0,11/16/2015 21:41,11/16/2015 21:43,1,881159,A1DJD0J0BTE1X8,1,,,,,,,,,,,,,,,,,,,,,,,,,1,8,35.713,35.713,38.091,1,,,,,,,,,,,,,,,,,,,,,,,1,3,8,11,1,42.5644989,-83.06469727,-1
R_bfoPbQPzil77J0p,Default Response Set,Anonymous,,,99.109.98.84,0,11/16/2015 21:43,11/16/2015 21:44,1,755641,AHV4U78TUUDKI,1,,,,,,,,,,,,,,,,,,,1,9,35.562,35.562,38.232,1,,,,,,,,,,,,,,,,,,,,,,,,,1,9,9,9,1,4,3,31,1,32.81010437,-97.10610199,-1
R_5ilAxiFGOuiAu4R,Default Response Set,Anonymous,,,98.212.155.169,0,11/16/2015 21:43,11/16/2015 21:44,1,616783,A2Y5UD9VD9RKUK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,18.509,18.862,19.873,2,1,5,9,9,,,,,1,5,9,9,,,,,1,8,9,6,2,40.11250305,-88.24259949,-1
R_6X3luZd7RuONYEJ,Default Response Set,Anonymous,,,67.250.44.226,0,11/16/2015 21:44,11/16/2015 21:45,1,659845,A13P7QQDWVU76V,1,1,7,10.877,10.877,11.678,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,9,9,,,,,,,,,,,,,1,7,5,8,1,40.71679688,-73.98609924,-1
R_6FpRq8SJr9V0uSF,Default Response Set,Anonymous,,,148.0.85.55,0,11/16/2015 21:45,11/16/2015 21:45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.46670532,-69.90000153,-1
R_07BlnTb6nEa1ECV,Default Response Set,Anonymous,,,65.88.88.156,0,11/16/2015 21:44,11/16/2015 21:45,1,513580,A3PGP8BIE31CZ5,1,,,,,,,,,,,,,,,,,,,,,,,,,1,9,19.053,19.053,20.919,1,,,,,,,,,,,,,,,,,,,,,,,1,8,5,17,1,40.75840759,-73.97940063,-1
R_9Fw6g86wI90wsS1,Default Response Set,Anonymous,,,72.91.216.43,0,11/16/2015 21:45,11/16/2015 21:46,1,178067,A3UMP9WBMJPPV8,1,,,,,,,1,6,2.449,2.449,4.659,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,,,,,1,8,7,16,2,27.90029907,-82.30239868,-1
R_3fTZVgk4NOvs9hj,Default Response Set,Anonymous,,,67.238.248.174,0,11/16/2015 21:44,11/16/2015 21:46,1,779275,A3MCZ0MJJCELIJ,1,1,7,27.609,28.496,29.378,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,6,,,,,,,,,1,9,9,13,2,34.98609924,-78.34339905,-1
R_0TW4IgZPKVNW4lv,Default Response Set,Anonymous,,,70.211.3.183,0,11/16/2015 21:45,11/16/2015 21:46,1,195194,A1PD0NGV29HX0W,1,,,,,,,,,,,,,,,,,,,1,10,2.749,3.552,4.674,2,,,,,,,,,,,,,,,,,,,,,,,,,1,6,10,10,1,9,9,17,2,33.96800232,-117.319397,-1
R_8IfaqfpVAWohJPv,Default Response Set,Anonymous,,,173.17.101.178,0,11/16/2015 21:44,11/16/2015 21:46,1,677788,AJSS6PQTQSS8D,1,,,,,,,,,,,,,1,8,51.402,52.766,55.649,3,,,,,,,,,,,,,,,,,,,,,,,1,9,9,8,,,,,,,,,1,8,2,36,2,42.02999878,-93.59049988,-1
R_6xjmdoTan9DKkqF,Default Response Set,Anonymous,,,96.41.158.180,0,11/16/2015 21:44,11/16/2015 21:47,1,246947,A3MOHY42B7HDWU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,39.879,39.879,41.698,1,1,10,9,9,,,,,,,,,1,10,9,9,1,11,6,51,2,43.21650696,-123.3417053,-1
R_4JAfkJms9B8rvHT,Default Response Set,Anonymous,,,172.56.17.147,0,11/16/2015 21:46,11/16/2015 21:47,1,266686,A2T5GQ63RC7BLU,1,1,8,45.402,45.402,46.345,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,8,,,,,,,,,,,,,1,7,4,16,1,34.05220032,-118.2436981,-1
R_cvHQ18OaOKt3knb,Default Response Set,Anonymous,,,68.108.0.106,0,11/16/2015 21:47,11/16/2015 21:48,1,860376,A3V0ECSC892EW9,1,,,,,,,1,8,10.526,10.526,11.63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,8,7,,,,,1,8,7,13,2,36.19790649,-115.2659988,-1
R_02gJemVr3EaSRP7,Default Response Set,Anonymous,,,99.24.150.159,0,11/16/2015 21:50,11/16/2015 21:53,1,133273,A26JRMEO37XT6Z,1,,,,,,,,,,,,,1,7,53.801,53.801,56.574,1,,,,,,,,,,,,,,,,,,,,,,,1,6,7,7,,,,,,,,,1,10,5,43,1,30.79969788,-86.97480011,-1
R_2na30OnY8WKi1SZ,Default Response Set,Anonymous,,,99.51.13.60,0,11/16/2015 21:52,11/16/2015 21:54,1,572850,A258MR1IS96JEP,1,,,,,,,,,,,,,,,,,,,1,6,33.922,33.922,36.52,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,7,1,1,1,17,1,42.26829529,-85.61669922,-1
R_agG0ySquJgA79oF,Default Response Set,Anonymous,,,71.230.37.237,0,11/16/2015 21:53,11/16/2015 21:54,1,904076,A31PCN2LP7DP8I,1,,,,,,,,,,,,,,,,,,,,,,,,,1,8,29.784,29.784,30.697,1,,,,,,,,,,,,,,,,,,,,,,,1,10,6,19,2,40.04020691,-75.53320313,-1
R_3eIRBfnJcR19HRX,Default Response Set,Anonymous,,,75.145.111.181,0,11/16/2015 21:52,11/16/2015 21:54,1,988737, A3TH4VAS25F4BG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,73.658,73.658,74.656,1,1,9,10,10,,,,,1,9,10,10,,,,,1,8,10,36,2,32.44889832,-93.70880127,-1
R_9v70qv2nlSjr8Nf,Default Response Set,Anonymous,,,138.163.0.42,0,11/16/2015 21:53,11/16/2015 21:54,1,749122,A3RP70I4XDGOIS,1,,,,,,,1,8,9.9,9.9,10.726,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,9,8,,,,,1,8,6,17,1,32.63609314,-117.0531998,-1
R_bwiRtqOYBuQOK21,Default Response Set,Anonymous,,,105.162.234.141,0,11/16/2015 21:56,11/16/2015 21:56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38,-1
R_73QqeoXyKt17jP7,Default Response Set,Anonymous,,,172.56.10.163,0,11/16/2015 21:56,11/16/2015 21:57,1,821800,A2LV5QYHH24OMY,1,1,7,21.879,21.879,23.749,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,,,,,,,,,1,10,5,26,1,42.38720703,-83.19059753,-1
R_aWCLBcLlu81oNq5,Default Response Set,Anonymous,,,24.21.217.242,0,11/16/2015 21:57,11/16/2015 21:58,1,781814,A10DDQNSQG3JOA,1,,,,,,,,,,,,,,,,,,,1,9,31.208,31.208,32.114,1,,,,,,,,,,,,,,,,,,,,,,,,,1,7,9,8,1,6,3,22,2,44.06900024,-123.0825043,-1
R_8rnNAqk2BCMswGp,Default Response Set,Anonymous,,,184.6.6.83,0,11/16/2015 22:03,11/16/2015 22:05,1,148420,AS53TLW26LCK0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,34.452,34.452,35.799,1,1,9,9,9,,,,,,,,,1,9,9,9,1,11,2,53,2,36.6882019,-78.98819733,-1
R_6AmrODX4qB9jYUd,Default Response Set,Anonymous,,,64.250.37.38,0,11/16/2015 22:05,11/16/2015 22:06,1,687894,A2ZNUY54PTBUD8,1,,,,,,,,,,,,,1,8,45.965,45.965,46.775,1,,,,,,,,,,,,,,,,,,,,,,,1,6,8,8,,,,,,,,,1,9,6,19,2,35.17170715,-92.74469757,-1
R_exm2WXod36Syjdz,Default Response Set,Anonymous,,,50.138.8.51,0,11/16/2015 22:11,11/16/2015 22:12,1,662042,A2Q1W107N7K6P1,1,1,8,21.625,21.625,22.432,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,9,9,,,,,,,,,,,,,1,8,5,31,2,25.938797,-80.21440125,-1
R_3ej0PN1O0uhurrf,Default Response Set,Anonymous,,,38.125.36.194,0,11/16/2015 22:12,11/16/2015 22:13,1,110202,A3V16ZZMTM0OLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,13.131,20.887,21.726,3,,,,,1,7,8,7,1,7,7,6,,,,,1,2,4,11,1,40.64509583,-73.94499969,-1
R_0cw9RtVpsnDxrgh,Default Response Set,Anonymous,,,24.126.23.117,0,11/16/2015 22:12,11/16/2015 22:13,1,582010,A34A7MN2SKHWUC,1,,,,,,,,,,,,,,,,,,,,,,,,,1,10,21.865,21.865,23.1,1,,,,,,,,,,,,,,,,,,,,,,,1,9,8,46,2,39.4631958,-77.95210266,-1
R_9NsnjDM9EWa9k21,Default Response Set,Anonymous,,,108.215.173.209,0,11/16/2015 22:00,11/16/2015 22:22,1,373766,A2FNKB7IPERG3X,1,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1202.341,1202.341,1203.578,1,,,,,,,,,,,,,,,,,,,,,,,1,5,2,20,1,32.73680115,-117.1277008,-1
R_0VAf4Qe8aZGwevH,Default Response Set,Anonymous,,,173.217.107.69,0,11/16/2015 22:25,11/16/2015 22:25,1,232359,ACVXBOS4CZGVQ,1,,,,,,,,,,,,,1,9,3.127,3.127,4.334,1,,,,,,,,,,,,,,,,,,,1,8,10,10,,,,,,,,,,,,,1,9,10,22,2,32.70809937,-93.2779007,-1
R_3Isf7QmBgzo5PJX,Default Response Set,Anonymous,,,70.199.1.68,0,11/16/2015 22:29,11/16/2015 22:30,1,718507,A3ICMLOBMFLE4E,1,,,,,,,1,9,10.351,10.351,11.042,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,9,8,,,,,1,8,7,17,1,40.32240295,-80.03549957,-1
R_6zETZEtVqglhQIB,Default Response Set,Anonymous,,,76.23.238.147,0,11/16/2015 22:33,11/16/2015 22:34,1,246641,ATJ8M4UR7NGIJ,1,,,,,,,,,,,,,,,,,,,1,8,26.2,26.2,27.172,1,,,,,,,,,,,,,,,,,,,,,,,,,1,9,10,9,1,9,8,25,1,42.79589844,-71.05699921,-1
R_1MrRHoG9dVUIpSJ,Default Response Set,Anonymous,,,75.175.144.106,0,11/16/2015 22:33,11/16/2015 22:35,1,167721,A1YUH518ZOSG90,1,,,,,,,,,,,,,,,,,,,1,10,42.451,42.451,43.832,1,,,,,,,,,,,,,,,,,,,,,,,,,1,8,10,10,1,11,9,22,1,45.96659851,-111.1123962,-1
R_elAJ9cevzw2POsd,Default Response Set,Anonymous,,,24.171.113.212,0,11/16/2015 22:35,11/16/2015 22:36,1,315938,A13OOUR0WU1KSL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,3.95,3.95,5.257,1,,,,,1,7,8,9,1,8,9,10,,,,,1,9,7,23,2,39.68339539,-91.43640137,-1
R_1FHwKwGVGrToPKB,Default Response Set,Anonymous,,,108.48.108.71,0,11/16/2015 22:36,11/16/2015 22:38,1,536296,A2BSULOV6QDJ0P,1,,,,,,,1,7,23.62,23.62,26.047,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,7,,,,,1,10,2,39,1,38.64190674,-77.34629822,-1
R_enTeX8NdRNl1woJ,Default Response Set,Anonymous,,,75.109.76.236,0,11/16/2015 22:35,11/16/2015 22:38,1,218908,A29PB2C8XD8TVG,1,1,8,80.645,135.775,137.061,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,9,7,,,,,,,,,,,,,1,10,6,40,1,35.58050537,-77.01270294,-1
R_3rNxJJUqUqtKIU5,Default Response Set,Anonymous,,,98.216.58.93,0,11/16/2015 22:39,11/16/2015 22:43,1,647282,A3HTLXAPOBCVVO,1,,,,,,,,,,,,,1,5,140.398,171.664,174.315,5,,,,,,,,,,,,,,,,,,,,,,,1,6,9,5,,,,,,,,,1,8,4,31,2,42.16630554,-71.36119843,-1
R_9YwZL4rFv6LtOcJ,Default Response Set,Anonymous,,,172.56.5.73,0,11/16/2015 22:42,11/16/2015 22:43,1,225345,AFEAPID5IIFGU,1,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,0,6.544,0,,,,,,,,,,,,,,,,,,,,,,,1,8,8,14,1,38,-97,-1
R_b2E4llFEQbsBfRr,Default Response Set,Anonymous,,,108.69.187.154,0,11/16/2015 22:43,11/16/2015 22:45,1,229862,ADQ5G2XTCJBVY,1,,,,,,,1,9,25.78,25.78,26.737,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,9,9,1,5,4,17,2,33.57350159,-101.8948975,-1
