V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,intro,time_front_1,time_front_2,time_front_3,time_front_4,RL_index_1,RL_index_2,RL_index_3,RL_index_4,RL_index_5,RL_index_6,RL_index_7,RL,partyid,partywhich,partylean,govsymp,A_intro,F+Act.Stim,F+Act.Time_1,F+Act.Time_2,F+Act.Time_3,F+Act.Time_4,F-Act.Stim,F-Act.Time_1,F-Act.Time_2,F-Act.Time_3,F-Act.Time_4,F+For.Stim,F+For.Time_1,F+For.Time_2,F+For.Time_3,F+For.Time_4,F-For.Stim,F-For.Time_1,F-For.Time_2,F-For.Time_3,F-For.Time_4,F+Cha.Stim,F+Cha.Time_1,F+Cha.Time_2,F+Cha.Time_3,F+Cha.Time_4,F-Cha.Stim,F-Cha.Time_1,F-Cha.Time_2,F-Cha.Time_3,F-Cha.Time_4,Q230,Act.Find,Act.Solve,Q233,Act.Char_1,Act.Char_2,Act.Char_3,Act.Char_4,Act.Char_5,Act.Char_6,Act.Char_7,Act.Char_8,Q247,For.Find,For.Solve,Q250,For.Char_1,For.Char_2,For.Char_3,For.Char_4,For.Char_5,For.Char_6,For.Char_7,For.Char_8,Q252,Cha.Find,Cha.Solve,Q255,Cha.Char_1,Cha.Char_2,Cha.Char_3,Cha.Char_4,Cha.Char_5,Cha.Char_6,Cha.Char_7,Cha.Char_8,J_Back_1,J_Back_2_1,J_Back_2_2,J_Back_2_3,J_Back_2_4,J_Back_2_5,J_Back_2_7,J_Back_2_8,J_Back_3,J_Back_4,J_Back_5,J_Intro,J_Ind1_AU,Ind1_Tid_A_1,Ind1_Tid_A_2,Ind1_Tid_A_3,Ind1_Tid_A_4,J_Ind1_KU,Ind1_Tid_K_1,Ind1_Tid_K_2,Ind1_Tid_K_3,Ind1_Tid_K_4,J_Ind2_AU,Ind2_Tid_A_1,Ind2_Tid_A_2,Ind2_Tid_A_3,Ind2_Tid_A_4,J_Ind2_KU,Ind2_Tid_K_1,Ind2_Tid_K_2,Ind2_Tid_K_3,Ind2_Tid_K_4,J_Ind3_AU,Ind3_Tid_A_1,Ind3_Tid_A_2,Ind3_Tid_A_3,Ind3_Tid_A_4,J_Ind3_KU,Ind3_Tid_K_1,Ind3_Tid_K_2,Ind3_Tid_K_3,Ind3_Tid_K_4,J_Post_1,J_Post_2,J_Post_3,Q58,Gender,Age,Edu_Own,Edu_Own_TEXT,GapYears,Study,Study_TEXT,Quota,Quota_TEXT,Grades,Housing,Housing_TEXT,Income_Own,PopSize,Income_M,Income_F,Job_M,Job_M_TEXT,Job_F,Job_F_TEXT,Edu_M,Edu_M_TEXT,Edu_F,Edu_F_TEXT,LastVote,VoteNow,LocationLatitude,LocationLongitude,LocationAccuracy
R_1JUCDBxIb00wnxF,Default Response Set,Anonymous,,,192.38.33.19,0,9/28/2015 11:15,9/28/2015 11:23,1,1,12.931,56.825,61.377,7,2,2,1,1,1,4,1,9,1,2,,3,1,,,,,,,,,,,,,,,,,,,,,1,0,0,51.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,1,4,4,4,4,4,4,5,4,1,1,1,1,,,,,10,4,4,1,,,,,,9,6.957,6.957,8.903,1,,,,,,9,5.511,5.511,6.686,1,4,18.886,18.886,20.037,1,,,,,,8,4,4,1,1,20,2,,1,3,,1,,"9,6(10,4)",8,Ungdomsbolig(ejet af bank),120000,250000,300000,500000,4,,4,,6,,6,,2,2,56.15339661,10.22549438,-1
R_2q9jXMuxGDJk20B,Default Response Set,Anonymous,,,192.38.33.17,0,9/28/2015 11:14,9/28/2015 11:23,1,1,18.752,67.931,70.979,8,2,3,2,2,1,4,2,5,3,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,52.385,0,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,1,7,6,6,7,7,6,7,7,1,,,,,,1,,10,4,8,1,8,10.754,10.754,12.027,1,,,,,,10,6.581,6.581,10.397,1,,,,,,,,,,,7,5.395,6.763,7.84,2,6,3,6,1,2,20,4,,2,3,,1,,"11,4",3,,70,5,,,4,,2,,3,,2,,2,2,56.15339661,10.22549438,-1
R_eD8JbtBuOLRBBAZ,Default Response Set,Anonymous,,,192.38.33.14,0,9/28/2015 11:14,9/28/2015 11:23,1,1,55.452,120.136,124.126,7,2,5,1,1,1,1,1,6,2,,10,2,1,1,0,0,55.698,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,6,1,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,11,6,1,1,9,7.984,7.984,12.93,1,,,,,,9,7.921,7.921,8.858,1,,,,,,,,,,,3,14.641,14.641,16.175,1,9,3,3,1,1,23,2,,3,2,,1,,"9,8",3,,55,40,360,500,2,,6,,5,,2,,10,10,56.15339661,10.22549438,-1
R_BxFXVXQeHaluyJ3,Default Response Set,Anonymous,,,192.38.33.20,0,9/28/2015 11:11,9/28/2015 11:23,1,1,6.631,29.132,29.81,7,5,3,1,4,1,5,1,2,2,,9,1,1,,,,,,,,,,,1,36.215,37.709,39.36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,7,1,9,8,8,8,8,8,7,7,,,,,,,,,,,,,1,,,1,1,,,,10,5,9,1,,,,,,7,1.535,9.246,10.342,19,8,2.745,10.01,11.997,12,,,,,,6,2.681,26.274,27.976,22,,,,,,7,4,7,1,1,21,4,,2,2,,1,,"9,2",7,,60000,300000,350000,50000,2,,3,,3,,2,,9,9,56.15339661,10.22549438,-1
R_1dAY6MvulD3I7JG,Default Response Set,Anonymous,,,192.38.33.12,0,9/28/2015 11:14,9/28/2015 11:23,1,1,22.364,72.344,73.619,9,3,3,3,1,6,3,3,4,1,2,,4,1,1,0,0,42.245,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,3,9,6,4,5,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,11,5,11,1,8,10.065,10.065,11.908,1,,,,,,,,,,,9,7.912,8.609,10.072,2,6,12.644,12.644,13.651,1,,,,,,6,4,7,1,1,20,2,,1,3,,1,,"9,9",6,,70000,5000,700000,600000,4,,4,,6,,6,,2,2,56.15339661,10.22549438,-1
R_3qfIS5BuVStI9V6,Default Response Set,Anonymous,,,192.38.33.13,0,9/28/2015 11:15,9/28/2015 11:23,1,1,14.943,34.216,35.504,7,2,1,1,2,1,4,1,6,3,,5,1,1,,,,,,,,,,,,,,,,1,0,0,21.409,0,,,,,,,,,,,,,,,,,,,,,,,1,7,7,1,6,6,6,6,6,6,6,6,,,,,,,,,,,,,1,,,,,,1,,11,4,4,1,5,16.35,16.35,17.683,1,,,,,,7,5.269,5.269,6.521,1,,,,,,3,5.917,8.913,10.985,3,,,,,,1,4,4,1,1,22,4,,3,3,,1,,"9,7",3,,100000,,500000,500000,4,,4,,6,,6,,5,14,56.15339661,10.22549438,-1
R_2e9Up9zBgYAAaVJ,Default Response Set,Anonymous,,,192.38.33.12,0,9/28/2015 11:14,9/28/2015 11:23,1,1,1.182,76.924,78.031,10,2,3,4,1,5,4,3,8,2,,5,8,1,,,,,,,,,,,1,1.131,1.131,29.87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,1,9,8,9,7,7,6,6,8,,,,,,,,,,,,,1,1,1,,,,,,11,3,11,1,,,,,,8,8.294,20.064,21.344,3,6,4.259,10.627,12.111,2,,,,,,4,10.902,10.902,13.181,1,,,,,,9,3,8,1,1,27,3,,7,3,,2,,9,6,,100000,30,?,?,2,,2,,5,,4,,5,5,56.15339661,10.22549438,-1
R_28LE4DOAHlKFLS5,Default Response Set,Anonymous,,,192.38.33.18,0,9/28/2015 11:14,9/28/2015 11:23,1,1,17.102,59.244,69.316,7,2,1,2,2,1,3,2,4,1,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,32.091,0,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,1,8,6,7,6,5,5,4,6,1,1,,,,,,,11,3,5,1,,,,,,7,10.25,10.25,17.662,1,11,8.665,13.297,14.566,3,,,,,,2,17.411,21.102,22.612,3,,,,,,7,3,6,1,1,20,4,,1,3,,1,,"11,9",2,,140,35,300,600,2,,4,,6,,6,,2,2,56.15339661,10.22549438,-1
R_33gnYRiRCQWWDGa,Default Response Set,Anonymous,,,192.38.33.13,0,9/28/2015 11:15,9/28/2015 11:23,1,1,9.415,39.142,40.259,9,1,5,3,2,1,1,3,9,1,5,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,30.152,0,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,1,9,9,8,9,7,8,5,7,1,,,,,1,,,11,6,1,1,,,,,,9,4.678,6.842,8.939,2,9,4.572,4.572,5.769,1,,,,,,5,22.598,34.083,36.481,3,,,,,,6,2,6,1,1,24,3,,4,3,,1,,"10,3",8,Lejlighed med ven,165,2900,190000,200000,10,,7,,1,,2,,5,5,56.15339661,10.22549438,-1
R_2PA3EbnRKP7K6G4,Default Response Set,Anonymous,,,192.38.33.15,0,9/28/2015 11:12,9/28/2015 11:23,1,1,14.62,54.268,55.656,8,2,5,4,2,1,3,5,6,1,2,,6,1,,,,,,,,,,,,,,,,1,2.525,49.509,51.174,3,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,3,9,2,2,3,2,11,,,,,,,,,,,,,1,,,,,,1,,11,4,4,1,,,,,,2,15.377,15.377,17.741,1,,,,,,10,11.133,11.133,13.005,1,3,11.134,11.134,12.821,1,,,,,,6,4,6,1,1,26,1,,8,2,,1,,"10,8",6,,67000,40000,300000,380000,3,,1,,3,,3,,2,2,56.15339661,10.22549438,-1
R_3mdvBEUyEfqSt2G,Default Response Set,Anonymous,,,192.38.33.15,0,9/28/2015 11:14,9/28/2015 11:23,1,1,24.419,86.922,87.9,8,1,4,3,1,1,6,6,8,3,,8,10,1,1,0,0,41.146,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,1,4,4,4,4,3,3,5,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,11,4,4,1,5,8.145,8.145,12.397,1,,,,,,,,,,,4,24.302,25.337,26.978,2,,,,,,3,6.064,6.064,7.253,1,6,4,4,1,2,20,4,,1,3,,1,,"9,0",6,,100,Viborg,450,500,4,,6,,5,,6,,8,8,56.15339661,10.22549438,-1
R_1qW136FueALtI9z,Default Response Set,Anonymous,,,192.38.33.11,0,9/28/2015 11:15,9/28/2015 11:23,1,1,10.378,57.914,58.741,10,3,4,3,2,2,3,2,6,3,,1,4,1,,,,,,1,0,0,34.001,0,,,,,,,,,,,,,,,,,,,,,1,4,4,1,6,6,6,6,5,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,8,4,8,1,,,,,,6,2.767,2.767,7.431,1,6,1.416,1.416,7.786,1,,,,,,6,13.884,13.884,14.713,1,,,,,,6,4,6,1,1,20,4,,1,3,,1,,9.9,8,Familie,60000,2000000,300000,600000,2,,2,,6,,2,,1,1,56.15339661,10.22549438,-1
R_1CrwfMWuChc6aXH,Default Response Set,Anonymous,,,192.38.33.20,0,9/28/2015 11:14,9/28/2015 11:24,1,1,14.548,72.21,73.335,8,4,3,1,4,1,2,1,4,1,10,,2,1,1,0,0,35.948,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,1,11,8,9,9,7,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,9,4,7,1,9,4.887,4.887,9.544,1,,,,,,8,7.267,7.267,8.611,1,,,,,,,,,,,7,13.356,13.356,14.901,1,8,4,7,1,1,20,4,,1,3,,3,,"11,6",7,,72000,4000,400000,960000,4,,4,,6,,7,Officer og MBA,10,10,56.15339661,10.22549438,-1
R_22t2O90a1Tw3ozN,Default Response Set,Anonymous,,,192.38.33.16,0,9/28/2015 11:14,9/28/2015 11:24,1,1,13.511,64.717,66.784,9,2,6,2,3,3,1,2,9,1,3,,12,1,,,,,,,,,,,,,,,,,,,,,1,0,0,47.762,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,1,9,8,9,8,7,8,7,8,1,,,,,,1,,9,6,11,1,8,12.911,12.911,14.255,1,,,,,,,,,,,11,9.622,9.622,11.332,1,3,12.151,12.151,13.794,1,,,,,,7,2,3,1,1,26,4,,5,3,,1,,"11,5",3,,70000,150,400000,500000,3,,2,,7,kontoruddannet,2,,3,3,56.15339661,10.22549438,-1
R_3lrV5qvBsddHDWO,Default Response Set,Anonymous,,,192.38.33.18,0,9/28/2015 11:14,9/28/2015 11:24,1,1,17.59,69.186,70.307,8,3,4,2,4,1,3,4,6,2,,12,6,1,,,,,,,,,,,,,,,,1,0,0,37.69,0,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,9,9,7,7,5,6,3,10,,,,,,,,,,,,,1,,,,,1,,,11,3,7,1,8,12.755,12.755,14.189,1,,,,,,9,7.046,7.046,9.114,1,,,,,,,,,,,7,12.52,12.52,14.13,1,9,3,7,1,1,20,4,,1,3,,1,,"11,9",1,,70,60,300,600,6,,4,,5,,6,,12,12,56.15339661,10.22549438,-1
R_1EXo2toJCDZ6IBU,Default Response Set,Anonymous,,,192.38.33.19,0,9/28/2015 11:13,9/28/2015 11:24,1,1,28.454,79.805,81.946,8,4,3,2,5,2,6,2,5,1,1,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,40.62,0,,,,,,,,,,,,,,,,,,,,,,,,,1,8,9,1,10,8,8,4,5,8,7,10,1,1,,,,,,,9,2,6,1,9,18.942,18.942,20.686,1,,,,,,,,,,,10,17.273,17.273,18.522,1,6,18.279,18.279,20.486,1,,,,,,7,3,5,1,2,21,4,,2,3,,1,,"10,2",6,,,50,,,2,,3,,4,,2,,1,1,56.15339661,10.22549438,-1
R_3qHT72tqiCmbffg,Default Response Set,Anonymous,,,192.38.33.13,0,9/28/2015 11:14,9/28/2015 11:24,1,1,43.134,88.373,89.374,8,1,4,3,1,1,1,5,8,1,8,,5,1,,,,,,,,,,,,,,,,1,0,0,37.583,0,,,,,,,,,,,,,,,,,,,,,,,1,6,2,1,5,7,4,7,4,4,1,4,,,,,,,,,,,,,1,,,,,,1,,11,3,10,1,,,,,,9,7.146,7.146,7.986,1,,,,,,11,10.451,10.451,11.18,1,9,36.279,36.279,37.129,1,,,,,,6,4,8,1,2,20,4,,,3,,1,,,6,,,50,,,4,,4,,6,,6,,8,8,56.15339661,10.22549438,-1
R_1mKruCckDx5NGYu,Default Response Set,Anonymous,,,192.38.33.13,0,9/28/2015 11:12,9/28/2015 11:24,1,1,13.535,59.48,61.324,8,1,3,3,1,3,2,2,9,1,5,,6,1,,,,,,,,,,,1,0,0,46.418,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,1,4,8,8,6,5,6,3,7,,,,,,,,,,,,,1,,,,,,1,,11,4,3,1,10,7.372,7.372,8.955,1,,,,,,8,17.04,18.049,19.428,2,,,,,,5,7.706,7.706,9.138,1,,,,,,8,4,7,1,1,22,4,,2,3,,1,,10.7,6,,110,1500,380000,400000,3,,3,,5,,5,,5,5,56.15339661,10.22549438,-1
R_2wTDHl2o0THpzvB,Default Response Set,Anonymous,,,192.38.33.20,0,9/28/2015 11:14,9/28/2015 11:24,1,1,17.321,81.138,83.086,7,4,2,2,5,1,3,4,6,1,2,,3,1,,,,,,1,0,0,41.253,0,,,,,,,,,,,,,,,,,,,,,1,3,3,1,8,6,8,2,2,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,10,3,6,1,,,,,,8,16.499,19.738,21.179,2,,,,,,6,16.595,16.595,18.468,1,,,,,,3,14.918,14.918,18.138,1,8,3,6,1,2,21,4,,1,2,,1,,9.3,2,,187000,750,?,?,4,,6,,2,,2,,2,2,56.15339661,10.22549438,-1
R_eE4PvhWlgZG3HSF,Default Response Set,Anonymous,,,192.38.33.17,0,9/28/2015 11:14,9/28/2015 11:24,1,1,13.061,45.389,47.719,7,1,5,2,2,1,1,4,9,1,5,,5,1,,,,,,,,,,,1,0,0,51.458,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,1,7,3,9,6,8,2,1,1,,,,,,,,,,,,,1,,,,,,1,,11,2,8,1,5,7.415,7.415,12.239,1,,,,,,,,,,,10,12.144,12.144,15.458,1,,,,,,4,30.836,30.836,36.446,1,9,2,9,1,1,19,4,,0 blev student i sommer,3,,1,,"9,4",2,,60.000kr.,15,250,400,2,,2,,3,,3,,5,5,56.15339661,10.22549438,-1
R_2f6W3kIjftupsXr,Default Response Set,Anonymous,,,192.38.33.13,0,9/28/2015 11:11,9/28/2015 11:24,1,1,17.394,77.829,80.084,23,5,1,1,1,1,6,2,2,1,10,,2,1,,,,,,,,,,,1,0,0,45.949,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,1,11,9,11,6,6,6,6,11,,,,,,,,,,,,,1,,,,,1,,,11,4,8,1,9,17.379,18.99,21.83,2,,,,,,,,,,,11,17.512,19.4,20.36,3,,,,,,5,11.035,11.546,15.167,2,9,3,1,1,1,21,4,,1,3,,1,,"10,5",4,,"140,000","10,000","300,000","450,000",3,,4,,5,,6,,11,10,56.15339661,10.22549438,-1
R_cTvUoCuHSToVI7n,Default Response Set,Anonymous,,,192.38.33.16,0,9/28/2015 11:14,9/28/2015 11:24,1,1,36.576,87.306,90.461,7,4,5,2,5,1,3,2,3,1,9,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,61.379,0,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,1,6,7,5,6,6,4,4,5,1,,,,,1,,,7,4,8,1,8,5.481,8.088,9.985,3,,,,,,,,,,,10,10.406,10.406,11.887,1,1,15,16.897,19.827,2,,,,,,7,6,6,1,2,19,2,,"0,5",3,,1,,12,7,,,,,,2,,2,,2,,3,,9,9,56.15339661,10.22549438,-1
